ETIHAD AIRLINES,ABUDHABI,KOZHIKODE,129621,135084
ETIHAD AIRLINES,ABUDHABI,MUMBAI,246559,306682
ETIHAD AIRLINES,ABUDHABI,TRIVANDRUM,79031,84293
FEDERAL EXPRESS,DUBAI,BENGALURU,0,0
FEDERAL EXPRESS,DUBAI,DELHI,0,0
FEDERAL EXPRESS,DUBAI,MUMBAI,0,0
FEDERAL EXPRESS,GUANGZHOU,DELHI,0,0
FEDERAL EXPRESS,GUANGZHOU,MUMBAI,0,0
FEDERAL EXPRESS,PARIS,DELHI,0,0
FEDERAL EXPRESS,PARIS,MUMBAI,0,0
FEDERAL EXPRESS,SEOUL,DELHI,0,0
FEDERAL EXPRESS,SINGAPORE,DELHI,0,0
FINN AIR,HELNSKI,DELHI,41853,44444
FLY DUBAI,DUBAI,AHMEDABAD,17412,18646
FLY DUBAI,DUBAI,CHENNAI,23788,24428
FLY DUBAI,DUBAI,DELHI,40345,39822
FLY DUBAI,DUBAI,HYDERABAD,39037,36175
FLY DUBAI,DUBAI,KOCHI,31610,33398
FLY DUBAI,DUBAI,LUCKNOW,25964,26743
FLY DUBAI,DUBAI,MUMBAI,40083,42414
FLY DUBAI,DUBAI,TRIVANDRUM,23901,25235
GARUDA INDONESIA,TANGERANG,MUMBAI,4859,5685
GULF AIR,BAHRAIN,CHENNAI,68803,67231
GULF AIR,BAHRAIN,DELHI,110469,101341
GULF AIR,BAHRAIN,HYDERABAD,51300,52016
GULF AIR,BAHRAIN,KOCHI,52760,50006
GULF AIR,BAHRAIN,MUMBAI,92215,96248
GULF AIR,BAHRAIN,TRIVANDRUM,53090,49741
INDIGO,BANGKOK,KOLKATA,110664,99317
INDIGO,DUBAI,BENGALURU,45214,47440
INDIGO,DUBAI,CHANDIGARH,28808,28130
INDIGO,DUBAI,CHENNAI,53272,53754
INDIGO,DUBAI,DELHI,156114,168729
INDIGO,DUBAI,HYDERABAD,52183,55580
INDIGO,DUBAI,KOCHI,82698,83677
INDIGO,DUBAI,KOZHIKODE,53546,56438
INDIGO,DUBAI,MUMBAI,105636,114605
INDIGO,DUBAI,TRIVANDRUM,54599,55112
INDIGO,KATHMANDU,DELHI,57499,59321
INDIGO,MUSCAT,CHENNAI,10038,10876
INDIGO,MUSCAT,KOCHI,36163,36599
INDIGO,MUSCAT,KOZHIKODE,1012,1559
INDIGO,MUSCAT,MUMBAI,37201,49964
INDIGO,SHARJAH,KOZHIKODE,1770,2006
INDIGO,SINGAPORE,CHENNAI,59620,62720
IRAN AIR,TEHRAN,MUMBAI,8205,8642
IRAN AIR,TEHRAN,MUMBAI,5820,5082
IRAQI AIRWAYS,BASRA,DELHI,5158,5584
ISLAND AVIATION SERVICES,DHAKA,CHENNAI,9563,8280
ISLAND AVIATION SERVICES,HAA DHAALU ATOLL,TRIVANDRUM,2529,2598
ISLAND AVIATION SERVICES,MALE,CHENNAI,6360,8172
ISLAND AVIATION SERVICES,MALE,TRIVANDRUM,32787,34414
JAPAN AIRLINES,TOKYO,DELHI,44324,49855
JET AIRWAYS,ABUDHABI,AHMEDABAD,38133,36744
JET AIRWAYS,ABUDHABI,BENGALURU,48625,43649
JET AIRWAYS,ABUDHABI,CHENNAI,39495,37711
JET AIRWAYS,ABUDHABI,DELHI,65979,62606
JET AIRWAYS,ABUDHABI,GOA,7265,5805
JET AIRWAYS,ABUDHABI,HYDERABAD,45401,46333
JET AIRWAYS,ABUDHABI,KOCHI,46867,50402
JET AIRWAYS,ABUDHABI,LUCKNOW,48259,46954
JET AIRWAYS,ABUDHABI,MANGALORE,43773,41655
JET AIRWAYS,ABUDHABI,MUMBAI,102261,100356
JET AIRWAYS,ABUDHABI,PUNE,41103,43157
JET AIRWAYS,AL AIN,KOZHIKODE,0,146
JET AIRWAYS,AMSTERDAM,DELHI,46447,51159
JET AIRWAYS,AMSTERDAM,MUMBAI,96669,101889
JET AIRWAYS,ANTALYA,DELHI,279,218
JET AIRWAYS,ANTALYA,MUMBAI,0,0
JET AIRWAYS,BAHRAIN,MUMBAI,43913,45589
